Ccity,percapita,,
minneapolis,"12,339.6060606061",,
washington,"18,825.5142857143",,
portland,"19,979.3548387097",,
kansas,"20,469.5652173913",,
cleveland,22913,,
baltimore,"23,066.4074074074",,
miami,"26,895.75",,
sacramento,"26,955.5",,
milwaukee,"27,256.4545454545",,
columbus,"28,826.1034482759",,
san francisco,"30,445.3214285714",,
philadelphia,"30,594.0588235294",,
oakland,"31,828.8461538462",,
tucson,"32,998.25",,
seattle,"33,417.1",,
san diego,"34,526.725",,
colorado springs,"37,152.5",,
denver,"39,050.7058823529",,
indianapolis (balance),"42,439.4",,
new orleans,"42,702.2222222222",,
chicago,"43,909.5",,
tulsa,"44,409.1111111111",,
omaha,"44,659.9",,
atlanta,"45,600.2",,
nashville-davidson metropolitan government (balance),46001,,
san jose,"46,172.0454545455",,
louisville/jefferson county metro government (balance),"47,136.9230769231",,
raleigh,"48,877.3333333333",,
austin,"53,693.5882352941",,
charlotte,"53,997.2",,
el paso,"56,586.3333333333",,
detroit,"56,687.5",,
los angeles,"57,777.4117647059",,
mesa,58088,,
new york,"61,978.6788321168",,
boston,"65,588.4",,
long beach,"67,653.8571428571",,
oklahoma,"68,955.7777777778",,
albuquerque,"69,646.125",,
memphis,"72,984.5555555556",,
fresno,"73,712.2857142857",,
fort worth,"73,839.8181818182",,
san antonio,"79,816.5",,
las vegas,87657,,
virginia beach,90196,,
jacksonville,"94,820.2222222222",,
phoenix,"109,789.857142857",,
dallas,"142,338.555555556",,
houston,"186,629.833333333",,
wichita,"194,206.5",,
